m	0	1.5	19	84.2	0.5	1	0
m	0	2.5	75	88.7	1	2.5	0
m	0	1	38.7	88.8	0.3	2	0
m	0	1.7	71.3	84.6	0.3	0.7	0.3
m	0	1	55	83.6	0	6	0
m	0	0.3	17	86.3	0.3	1	0
d	0	0.3	23	76.8	0.3	0	0
d	1	0.7	44.7	91.8	0.3	0.7	0
FW	0	1	16	50	0	0	0
m	0	1	62.7	87.2	0.3	1.7	0.3
GK	0	0.3	27.7	49.4	0	8.3	0
GK	0	0	28.7	41.9	0	6	0
d	0	0.7	47.3	81.7	0.3	2.7	0
d	1	0.5	12.5	72	0	2.5	0
d	0	0	43	86	0	0.7	0
d	0	0	20	72.5	0	1.5	0
d	0	1	33	84.8	0.7	2.3	0
m	1	2.3	36	87	0.7	1.7	0
m	0	1.7	43.3	79.2	1.3	3.3	0
d	1	2	55.7	80.2	1	0.7	0
m	1	1.3	23.3	84.3	0.7	0	0
m	0	0.3	31	89.2	0	0.3	0
FW	0	0.5	12.5	76	0	0	0
m	2	1.3	45.7	83.2	0.3	1.7	0
m	0	1	51	86.3	0	2	0
m	1	1	25.3	69.7	0	1	0
FW	0	0.3	15.3	69.6	0	0	0
m	0	0	50	92.7	0	1.7	0
m	0	1	24.7	93.2	0.3	2	0
FW	0	1	23	73.9	0	0.3	0
d	0	0	62.7	89.9	0	3.7	0.3
d	0	0	35	80	0	2.3	0
m	0	0.3	49	77.6	1	2.7	0
FW	0	0	11	81.8	0	0	0
d	0	0.3	48.7	89	0	3.3	0
d	0	0.3	16.3	77.6	0	2	0
d	0	0	44.7	73.9	0	6.7	0
d	1	1.3	15	75.6	1	0	0
m	0	0.3	23.3	84.3	0	1	0
d	0	0.3	38.7	81.9	0	3.7	0
FW	0	2	22	79.5	1	1	0
d	0	0	43.5	85.1	1	1	0
FW	0	0.3	22	74.2	0	0.3	0
GK	0	0	22.3	61.2	0	5.3	0
m	1	2.7	62	91.9	0.3	0.7	0
FW	0	0.3	13.3	65	0	0	0
m	0	3	14	78.6	3	2	1
m	0	0	41.7	84	0	2.3	0
m	0	1.3	49.3	91.2	1.3	4.3	0
m	0	0.7	53.7	88.8	0	7.3	0
FW	0	0	15	84.4	0	0.3	0
d	0	0	44	88.6	0	3	0
d	0	1	17	94.1	0	5	0
d	0	0.5	19.5	71.8	1.5	1	0
m	0	3	28	92.9	2	1	0
GK	0	0	31	69.9	0	4.7	0
d	0	0	40	84.2	0.3	2.3	0
m	0	2	8	100	1	1	0
FW	1	0.7	23.3	82.9	0	0.7	0
GK	0	0	21	60.3	0	9	0
d	0	1	39.3	76.3	0.3	3.3	0
GK	0	0.7	24.7	45.9	0	8.3	0
m	0	0.7	33.7	84.2	0	2	0
FW	0	0	19	52.6	0.5	0.5	0
d	1	1	22.3	83.6	0.3	0.3	0
d	0	1	40	76.3	0.5	1	0
d	0	1.7	53.7	90.1	2	5	0
m	1	0.3	73	88.6	0.3	5	0
m	0	0.3	93.3	91.1	0	2.3	0.3
d	0	0	38	78.1	0	3.3	0
m	1	1.3	20.7	69.4	1.3	0.3	0
d	0	0.7	41.3	82.3	1	2	0
m	0	0	27	66.7	0	1	0
m	0	0	47	89.4	0	4	0
